mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_random_state,param_n_estimators,param_max_depth,param_learning_rate,param_criterion,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_f1,split1_test_f1,split2_test_f1,split3_test_f1,split4_test_f1,mean_test_f1,std_test_f1,rank_test_f1,split0_test_precision,split1_test_precision,split2_test_precision,split3_test_precision,split4_test_precision,mean_test_precision,std_test_precision,rank_test_precision,split0_test_recall,split1_test_recall,split2_test_recall,split3_test_recall,split4_test_recall,mean_test_recall,std_test_recall,rank_test_recall
3.7532670974731444,0.7423665394529857,0.021456575393676756,0.0006787650341974285,42,300,10,1,friedman_mse,"{'random_state': 42, 'n_estimators': 300, 'max_depth': 10, 'learning_rate': 1, 'criterion': 'friedman_mse'}",0.8409893992932862,0.872791519434629,0.900709219858156,0.8617021276595744,0.8723404255319149,0.869706538355512,0.019320276378868746,12,0.3283582089552239,0.48571428571428565,0.6111111111111112,0.46575342465753417,0.5135135135135135,0.48089010879033367,0.09114841560663359,26,0.4782608695652174,0.6538461538461539,0.7586206896551724,0.5666666666666667,0.6333333333333333,0.6181455426133087,0.09322689095780079,16,0.25,0.38636363636363635,0.5116279069767442,0.3953488372093023,0.4318181818181818,0.39503171247357294,0.08492037521587618,27
6.931003475189209,1.1946215438365708,0.029392719268798828,0.007232736797366174,42,600,8,0.5,friedman_mse,"{'random_state': 42, 'n_estimators': 600, 'max_depth': 8, 'learning_rate': 0.5, 'criterion': 'friedman_mse'}",0.8621908127208481,0.8763250883392226,0.8900709219858156,0.851063829787234,0.8723404255319149,0.870398215673007,0.01316886717380562,11,0.49350649350649356,0.5070422535211268,0.5633802816901409,0.4324324324324324,0.48571428571428565,0.49641514937289594,0.04198576215317823,12,0.5757575757575758,0.6666666666666666,0.7142857142857143,0.5161290322580645,0.6538461538461539,0.625337028562835,0.07045180835069162,10,0.4318181818181818,0.4090909090909091,0.46511627906976744,0.37209302325581395,0.38636363636363635,0.4128964059196617,0.033070634884157075,16
3.0641103267669676,0.32714206559176057,0.02582888603210449,0.005676291248849756,42,500,2,1,squared_error,"{'random_state': 42, 'n_estimators': 500, 'max_depth': 2, 'learning_rate': 1, 'criterion': 'squared_error'}",0.8515901060070671,0.8657243816254417,0.8687943262411347,0.8439716312056738,0.8617021276595744,0.8583565145477783,0.009242679899462859,42,0.5,0.5681818181818182,0.5432098765432098,0.4054054054054055,0.5063291139240506,0.5046252428108968,0.055492493935195404,6,0.525,0.5681818181818182,0.5789473684210527,0.4838709677419355,0.5714285714285714,0.5454857451546756,0.03612165208767643,44,0.4772727272727273,0.5681818181818182,0.5116279069767442,0.3488372093023256,0.45454545454545453,0.4720930232558139,0.07255729558885685,2
5.51466121673584,1.2644478919787934,0.0301361083984375,0.01637678432745585,42,400,8,0.5,friedman_mse,"{'random_state': 42, 'n_estimators': 400, 'max_depth': 8, 'learning_rate': 0.5, 'criterion': 'friedman_mse'}",0.8586572438162544,0.8763250883392226,0.8936170212765957,0.8404255319148937,0.8652482269503546,0.8668546224594641,0.01774367529342113,28,0.48717948717948717,0.5070422535211268,0.5714285714285714,0.36619718309859156,0.4411764705882353,0.47460479316320237,0.06849061026411316,32,0.5588235294117647,0.6666666666666666,0.7407407407407407,0.4642857142857143,0.625,0.6111033302209773,0.09420705909406055,26,0.4318181818181818,0.4090909090909091,0.46511627906976744,0.3023255813953488,0.3409090909090909,0.38985200845665957,0.059753309610989847,31
5.570080709457398,0.973009553894977,0.02279210090637207,0.0010034443374766246,42,500,8,0.5,squared_error,"{'random_state': 42, 'n_estimators': 500, 'max_depth': 8, 'learning_rate': 0.5, 'criterion': 'squared_error'}",0.8657243816254417,0.8833922261484098,0.8900709219858156,0.8475177304964538,0.8546099290780141,0.868263037866827,0.016295374072473213,22,0.5,0.547945205479452,0.5633802816901409,0.3943661971830986,0.4225352112676057,0.4856453791240594,0.06699973272191917,22,0.59375,0.6896551724137931,0.7142857142857143,0.5,0.5555555555555556,0.6106492884510126,0.080680367933908,28,0.4318181818181818,0.45454545454545453,0.46511627906976744,0.32558139534883723,0.3409090909090909,0.4035940803382664,0.058639594633154726,22
0.49904813766479494,0.0023734131798953625,0.018053627014160155,7.539602220813261e-05,42,100,2,1,friedman_mse,"{'random_state': 42, 'n_estimators': 100, 'max_depth': 2, 'learning_rate': 1, 'criterion': 'friedman_mse'}",0.8480565371024735,0.8197879858657244,0.8404255319148937,0.8652482269503546,0.8652482269503546,0.8477533017567602,0.017017590137705204,52,0.5057471264367817,0.4516129032258064,0.4578313253012048,0.5365853658536586,0.4722222222222222,0.4847997886079347,0.03196059925429634,24,0.5116279069767442,0.42857142857142855,0.475,0.5641025641025641,0.6071428571428571,0.5172889513587188,0.06317664189053365,51,0.5,0.4772727272727273,0.4418604651162791,0.5116279069767442,0.38636363636363635,0.4634249471458774,0.04529126482416142,6
5.360659503936768,1.082825719748231,0.022855281829833984,0.0014539502945558427,42,600,6,1,squared_error,"{'random_state': 42, 'n_estimators': 600, 'max_depth': 6, 'learning_rate': 1, 'criterion': 'squared_error'}",0.8621908127208481,0.8904593639575972,0.8865248226950354,0.8723404255319149,0.8617021276595744,0.874643510512994,0.011992998559490127,2,0.4657534246575343,0.5866666666666667,0.5555555555555556,0.5,0.4657534246575343,0.5147458143074581,0.04869495150756741,2,0.5862068965517241,0.7096774193548387,0.6896551724137931,0.6206896551724138,0.5862068965517241,0.6384872080088988,0.05190264269168959,2,0.38636363636363635,0.5,0.46511627906976744,0.4186046511627907,0.38636363636363635,0.4312896405919662,0.044861911750069594,10
5.151640558242798,0.9184154670527304,0.0276486873626709,0.011311163893107292,42,400,10,0.5,squared_error,"{'random_state': 42, 'n_estimators': 400, 'max_depth': 10, 'learning_rate': 0.5, 'criterion': 'squared_error'}",0.8586572438162544,0.8798586572438163,0.8936170212765957,0.8475177304964538,0.8652482269503546,0.8689797759566948,0.016164420423429065,17,0.4117647058823529,0.5,0.5833333333333334,0.3943661971830986,0.4411764705882353,0.466128141397404,0.06871987406350162,36,0.5833333333333334,0.7083333333333334,0.7241379310344828,0.5,0.625,0.6281609195402299,0.08256382726552153,8,0.3181818181818182,0.38636363636363635,0.4883720930232558,0.32558139534883723,0.3409090909090909,0.3718816067653277,0.06287517185580489,40
1.8825157642364503,0.026800491391260152,0.018894290924072264,0.00020942357934459834,42,200,4,1,squared_error,"{'random_state': 42, 'n_estimators': 200, 'max_depth': 4, 'learning_rate': 1, 'criterion': 'squared_error'}",0.8515901060070671,0.8480565371024735,0.875886524822695,0.8687943262411347,0.8723404255319149,0.863333583941057,0.011312087877867172,36,0.46153846153846156,0.4266666666666667,0.49275362318840576,0.4788732394366197,0.4705882352941177,0.4660840452248543,0.022223904557794168,37,0.5294117647058824,0.5161290322580645,0.6538461538461539,0.6071428571428571,0.6666666666666666,0.5946392949239249,0.06207773438838532,36,0.4090909090909091,0.36363636363636365,0.3953488372093023,0.3953488372093023,0.36363636363636365,0.3854122621564482,0.01847446281179998,34
1.3878067493438722,0.055625853783977136,0.018615865707397462,0.0005537341094837212,42,100,6,1,friedman_mse,"{'random_state': 42, 'n_estimators': 100, 'max_depth': 6, 'learning_rate': 1, 'criterion': 'friedman_mse'}",0.8551236749116607,0.8657243816254417,0.8865248226950354,0.8687943262411347,0.8617021276595744,0.8675738666265694,0.010521724617035147,23,0.4225352112676057,0.5,0.5294117647058824,0.4307692307692308,0.43478260869565216,0.4634997630876742,0.04301329203866536,38,0.5555555555555556,0.59375,0.72,0.6363636363636364,0.6,0.6211338383838384,0.05568391072363915,15,0.3409090909090909,0.4318181818181818,0.4186046511627907,0.32558139534883723,0.3409090909090909,0.37156448202959835,0.04435591532250249,43
4.912575817108154,0.19774443200029684,0.022637224197387694,0.0007163242242982586,42,200,10,0,squared_error,"{'random_state': 42, 'n_estimators': 200, 'max_depth': 10, 'learning_rate': 0, 'criterion': 'squared_error'}",0.8445229681978799,0.8445229681978799,0.8475177304964538,0.8475177304964538,0.8439716312056738,0.8456106057188683,0.0015701208898417011,53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53
10.57411298751831,0.1847719668157316,0.024837732315063477,0.0009793613510679761,42,500,8,0,friedman_mse,"{'random_state': 42, 'n_estimators': 500, 'max_depth': 8, 'learning_rate': 0, 'criterion': 'friedman_mse'}",0.8445229681978799,0.8445229681978799,0.8475177304964538,0.8475177304964538,0.8439716312056738,0.8456106057188683,0.0015701208898417011,53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53
3.0979552268981934,0.09141316596748308,0.02039961814880371,0.00032102848400026543,42,300,4,0,friedman_mse,"{'random_state': 42, 'n_estimators': 300, 'max_depth': 4, 'learning_rate': 0, 'criterion': 'friedman_mse'}",0.8445229681978799,0.8445229681978799,0.8475177304964538,0.8475177304964538,0.8439716312056738,0.8456106057188683,0.0015701208898417011,53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53
23.076979207992554,16.671721824226385,0.03381667137145996,0.011757654916047066,42,200,,1,friedman_mse,"{'random_state': 42, 'n_estimators': 200, 'max_depth': None, 'learning_rate': 1, 'criterion': 'friedman_mse'}",0.8621908127208481,0.8445229681978799,0.8687943262411347,0.8439716312056738,0.8652482269503546,0.8569455930631783,0.01057812678566497,45,0.2909090909090909,0.45,0.4126984126984127,0.37142857142857144,0.4864864864864865,0.4023045123045123,0.06757478985823251,49,0.7272727272727273,0.5,0.65,0.48148148148148145,0.6,0.5917508417508418,0.09209206619482936,37,0.18181818181818182,0.4090909090909091,0.3023255813953488,0.3023255813953488,0.4090909090909091,0.32093023255813957,0.0843671008442107,49
3.7606749057769777,0.022793206915039752,0.02106952667236328,0.00013627835800571203,42,400,4,0.5,friedman_mse,"{'random_state': 42, 'n_estimators': 400, 'max_depth': 4, 'learning_rate': 0.5, 'criterion': 'friedman_mse'}",0.8515901060070671,0.8798586572438163,0.8900709219858156,0.8581560283687943,0.8617021276595744,0.8682755682530136,0.014375153939847084,19,0.43243243243243246,0.5277777777777777,0.5633802816901409,0.4444444444444444,0.43478260869565216,0.48056350900808953,0.054414856801481656,27,0.5333333333333333,0.6785714285714286,0.7142857142857143,0.5517241379310345,0.6,0.6155829228243023,0.07042096244976559,20,0.36363636363636365,0.4318181818181818,0.46511627906976744,0.37209302325581395,0.3409090909090909,0.3947145877378435,0.04627244864491038,28
12.603826379776,0.2416817747668745,0.02861342430114746,0.006501920124353811,42,600,8,0,squared_error,"{'random_state': 42, 'n_estimators': 600, 'max_depth': 8, 'learning_rate': 0, 'criterion': 'squared_error'}",0.8445229681978799,0.8445229681978799,0.8475177304964538,0.8475177304964538,0.8439716312056738,0.8456106057188683,0.0015701208898417011,53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53
6.5920497417449955,1.5980733216987353,0.023616218566894533,0.0009591402841128038,42,500,10,1,friedman_mse,"{'random_state': 42, 'n_estimators': 500, 'max_depth': 10, 'learning_rate': 1, 'criterion': 'friedman_mse'}",0.8445229681978799,0.8798586572438163,0.8900709219858156,0.8652482269503546,0.875886524822695,0.8711174598401122,0.01549258610168238,6,0.3529411764705882,0.5405405405405405,0.5633802816901409,0.4722222222222222,0.5333333333333333,0.49248351085136505,0.07600936931204004,15,0.5,0.6666666666666666,0.7142857142857143,0.5862068965517241,0.6451612903225806,0.6224641135653372,0.07377300155096551,13,0.2727272727272727,0.45454545454545453,0.46511627906976744,0.3953488372093023,0.45454545454545453,0.4084566596194503,0.07218441381098792,18
7.668310832977295,1.5972873770708274,0.02950897216796875,0.009449762193041843,42,700,8,1,friedman_mse,"{'random_state': 42, 'n_estimators': 700, 'max_depth': 8, 'learning_rate': 1, 'criterion': 'friedman_mse'}",0.8515901060070671,0.8833922261484098,0.8829787234042553,0.8617021276595744,0.8723404255319149,0.8704007217502443,0.01233087642212174,10,0.43243243243243246,0.5352112676056339,0.547945205479452,0.43478260869565216,0.48571428571428565,0.4872171599854912,0.0484651153900929,20,0.5333333333333333,0.7037037037037037,0.6666666666666666,0.5769230769230769,0.6538461538461539,0.6268945868945868,0.06238382112747492,9,0.36363636363636365,0.4318181818181818,0.46511627906976744,0.3488372093023256,0.38636363636363635,0.39915433403805495,0.04330091535821085,25
4.5454662322998045,0.6783502883279835,0.022808265686035157,0.0015077826599436555,42,400,6,0.5,friedman_mse,"{'random_state': 42, 'n_estimators': 400, 'max_depth': 6, 'learning_rate': 0.5, 'criterion': 'friedman_mse'}",0.8657243816254417,0.8833922261484098,0.8865248226950354,0.8546099290780141,0.8546099290780141,0.868972257724983,0.013704960370943027,18,0.4722222222222222,0.547945205479452,0.5555555555555556,0.4057971014492754,0.4057971014492754,0.4774634372311562,0.06536919198425345,30,0.6071428571428571,0.6896551724137931,0.6896551724137931,0.5384615384615384,0.56,0.6169829480863964,0.06335929278211959,18,0.38636363636363635,0.45454545454545453,0.46511627906976744,0.32558139534883723,0.3181818181818182,0.3899577167019027,0.061853687278525485,30
5.070152044296265,1.1649482521689214,0.023192930221557616,0.001505712035500672,42,400,10,1,friedman_mse,"{'random_state': 42, 'n_estimators': 400, 'max_depth': 10, 'learning_rate': 1, 'criterion': 'friedman_mse'}",0.8445229681978799,0.872791519434629,0.8936170212765957,0.8546099290780141,0.8829787234042553,0.8697040322782748,0.01799721636201404,13,0.3529411764705882,0.5135135135135135,0.5833333333333334,0.4383561643835616,0.5599999999999999,0.4896288375401993,0.08439847686474872,17,0.5,0.6333333333333333,0.7241379310344828,0.5333333333333333,0.6774193548387096,0.6136447905079717,0.08488655540271074,22,0.2727272727272727,0.4318181818181818,0.4883720930232558,0.37209302325581395,0.4772727272727273,0.4084566596194503,0.07926243612018684,18
2.0805791854858398,0.03012504580512378,0.020120525360107423,0.00021398619881090266,42,400,2,0.5,squared_error,"{'random_state': 42, 'n_estimators': 400, 'max_depth': 2, 'learning_rate': 0.5, 'criterion': 'squared_error'}",0.8515901060070671,0.8657243816254417,0.8723404255319149,0.851063829787234,0.8617021276595744,0.8604841741222463,0.008214148988331662,40,0.4878048780487805,0.5128205128205129,0.5384615384615383,0.4615384615384615,0.4800000000000001,0.49612507817385865,0.026820109374308343,13,0.5263157894736842,0.5882352941176471,0.6,0.5142857142857142,0.5806451612903226,0.5618963918334736,0.0347272082547148,41,0.45454545454545453,0.45454545454545453,0.4883720930232558,0.4186046511627907,0.4090909090909091,0.4450317124735729,0.02845888992890288,8
3.6333000659942627,0.03516968304720413,0.021826648712158205,0.0006212844824507838,42,700,2,1,friedman_mse,"{'random_state': 42, 'n_estimators': 700, 'max_depth': 2, 'learning_rate': 1, 'criterion': 'friedman_mse'}",0.8551236749116607,0.8586572438162544,0.8687943262411347,0.8475177304964538,0.8652482269503546,0.8590682404831715,0.007509084813307824,41,0.5176470588235295,0.5348837209302325,0.5432098765432098,0.42666666666666664,0.5250000000000001,0.5094814645927277,0.04230525505324587,4,0.5365853658536586,0.5476190476190477,0.5789473684210527,0.5,0.5833333333333334,0.5492970230454184,0.030437515372127397,42,0.5,0.5227272727272727,0.5116279069767442,0.37209302325581395,0.4772727272727273,0.4767441860465116,0.05445052131713876,1
7.81089940071106,1.9691638397717797,0.024526023864746095,0.0011552055396233769,42,600,10,1,friedman_mse,"{'random_state': 42, 'n_estimators': 600, 'max_depth': 10, 'learning_rate': 1, 'criterion': 'friedman_mse'}",0.8409893992932862,0.8657243816254417,0.8900709219858156,0.8581560283687943,0.8723404255319149,0.8654562313610507,0.01615713999233578,32,0.3283582089552239,0.4722222222222222,0.5633802816901409,0.4444444444444444,0.5000000000000001,0.4616810314624063,0.0774522723780429,40,0.4782608695652174,0.6071428571428571,0.7142857142857143,0.5517241379310345,0.6428571428571429,0.5988541443563933,0.08011665170684008,33,0.25,0.38636363636363635,0.46511627906976744,0.37209302325581395,0.4090909090909091,0.3765327695560254,0.07075870217670989,39
6.347074747085571,1.5043668012843288,0.023191261291503906,0.0009615528757321055,42,500,10,1,squared_error,"{'random_state': 42, 'n_estimators': 500, 'max_depth': 10, 'learning_rate': 1, 'criterion': 'squared_error'}",0.8445229681978799,0.8551236749116607,0.8865248226950354,0.8687943262411347,0.8687943262411347,0.864752023657369,0.01420320374172049,34,0.3529411764705882,0.4225352112676057,0.5555555555555556,0.49315068493150693,0.47887323943661975,0.46061117353237524,0.06848264846020806,41,0.5,0.5555555555555556,0.6896551724137931,0.6,0.6296296296296297,0.5949680715197957,0.06444326499078372,35,0.2727272727272727,0.3409090909090909,0.46511627906976744,0.4186046511627907,0.38636363636363635,0.3767441860465116,0.06596685757171684,38
2.2346535682678224,0.26807166406330823,0.0204160213470459,0.0005171141901264279,42,200,6,1,friedman_mse,"{'random_state': 42, 'n_estimators': 200, 'max_depth': 6, 'learning_rate': 1, 'criterion': 'friedman_mse'}",0.8551236749116607,0.8692579505300353,0.8936170212765957,0.8794326241134752,0.8617021276595744,0.8718266796982682,0.013570296009835506,5,0.4533333333333333,0.5066666666666667,0.5833333333333334,0.48484848484848486,0.43478260869565216,0.4925928853754941,0.05172082070364863,14,0.5483870967741935,0.6129032258064516,0.7241379310344828,0.6956521739130435,0.6,0.6362160855056342,0.06454754071948024,5,0.38636363636363635,0.4318181818181818,0.4883720930232558,0.37209302325581395,0.3409090909090909,0.40391120507399575,0.05138486391007642,20
3.1932451248168947,0.11788134876533901,0.02201108932495117,0.002748595637895542,42,600,2,0,friedman_mse,"{'random_state': 42, 'n_estimators': 600, 'max_depth': 2, 'learning_rate': 0, 'criterion': 'friedman_mse'}",0.8445229681978799,0.8445229681978799,0.8475177304964538,0.8475177304964538,0.8439716312056738,0.8456106057188683,0.0015701208898417011,53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53
5.541768026351929,0.8644620038632236,0.023275327682495118,0.0005983950197785557,42,700,4,1,friedman_mse,"{'random_state': 42, 'n_estimators': 700, 'max_depth': 4, 'learning_rate': 1, 'criterion': 'friedman_mse'}",0.8445229681978799,0.8763250883392226,0.8794326241134752,0.8723404255319149,0.8723404255319149,0.8689923063428815,0.012521487454924991,15,0.4358974358974359,0.5454545454545454,0.5277777777777777,0.48571428571428577,0.5000000000000001,0.498968808968809,0.037803767598516655,10,0.5,0.6363636363636364,0.6551724137931034,0.6296296296296297,0.6428571428571429,0.6128045645287024,0.05702836938816024,23,0.38636363636363635,0.4772727272727273,0.4418604651162791,0.3953488372093023,0.4090909090909091,0.4219873150105708,0.03345561588036911,14
2.9251588344573975,0.023260458299430492,0.021269464492797853,0.0008142494071835712,42,300,4,0.5,squared_error,"{'random_state': 42, 'n_estimators': 300, 'max_depth': 4, 'learning_rate': 0.5, 'criterion': 'squared_error'}",0.8515901060070671,0.8798586572438163,0.8865248226950354,0.8581560283687943,0.875886524822695,0.8704032278274816,0.013291387885914455,9,0.43243243243243246,0.5405405405405405,0.5428571428571429,0.4285714285714286,0.5070422535211268,0.4902887595845343,0.05044945888142317,16,0.5333333333333333,0.6666666666666666,0.7037037037037037,0.5555555555555556,0.6666666666666666,0.6251851851851852,0.067663331832114,11,0.36363636363636365,0.45454545454545453,0.4418604651162791,0.3488372093023256,0.4090909090909091,0.4035940803382664,0.04167855063121051,22
10.568611812591552,0.7197917443797373,0.025271797180175783,0.0004831203771175853,42,400,10,0,squared_error,"{'random_state': 42, 'n_estimators': 400, 'max_depth': 10, 'learning_rate': 0, 'criterion': 'squared_error'}",0.8445229681978799,0.8445229681978799,0.8475177304964538,0.8475177304964538,0.8439716312056738,0.8456106057188683,0.0015701208898417011,53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53
3.1804699420928957,0.5804506757733916,0.02287015914916992,0.0030175173976963775,42,200,10,0.5,friedman_mse,"{'random_state': 42, 'n_estimators': 200, 'max_depth': 10, 'learning_rate': 0.5, 'criterion': 'friedman_mse'}",0.8551236749116607,0.8833922261484098,0.8971631205673759,0.8439716312056738,0.851063829787234,0.866142896524071,0.020494683098804343,31,0.3492063492063492,0.5599999999999999,0.5797101449275363,0.4054054054054055,0.39999999999999997,0.4588643799078582,0.09292994506480343,42,0.5789473684210527,0.6774193548387096,0.7692307692307693,0.4838709677419355,0.5384615384615384,0.609585999738801,0.10187197895518926,29,0.25,0.4772727272727273,0.46511627906976744,0.3488372093023256,0.3181818181818182,0.37188160676532767,0.08725804262939423,41
2.735465574264526,0.06497887117496073,0.023057937622070312,0.004495708194038785,42,500,2,1,friedman_mse,"{'random_state': 42, 'n_estimators': 500, 'max_depth': 2, 'learning_rate': 1, 'criterion': 'friedman_mse'}",0.8515901060070671,0.8657243816254417,0.8687943262411347,0.8439716312056738,0.8617021276595744,0.8583565145477783,0.009242679899462859,42,0.5,0.5681818181818182,0.5432098765432098,0.4054054054054055,0.5063291139240506,0.5046252428108968,0.055492493935195404,6,0.525,0.5681818181818182,0.5789473684210527,0.4838709677419355,0.5714285714285714,0.5454857451546756,0.03612165208767643,44,0.4772727272727273,0.5681818181818182,0.5116279069767442,0.3488372093023256,0.45454545454545453,0.4720930232558139,0.07255729558885685,2
1.5980037689208983,0.07056501909343246,0.0200986385345459,0.0007641927349449643,42,100,6,0.5,squared_error,"{'random_state': 42, 'n_estimators': 100, 'max_depth': 6, 'learning_rate': 0.5, 'criterion': 'squared_error'}",0.8621908127208481,0.872791519434629,0.8900709219858156,0.8439716312056738,0.8617021276595744,0.866145402601308,0.01512388149925093,30,0.43478260869565216,0.5000000000000001,0.5507246376811594,0.37142857142857144,0.43478260869565216,0.4583436853002071,0.06153693947220771,43,0.6,0.6428571428571429,0.7307692307692307,0.48148148148148145,0.6,0.6110215710215711,0.08046936125353628,27,0.3409090909090909,0.4090909090909091,0.4418604651162791,0.3023255813953488,0.3409090909090909,0.3670190274841437,0.05083302775072299,45
